order_date,category_name,product_name,product_price,order_qty,total_sales,cust_email,cust_city
08/01/2020,Training Videos,Understanding 3D Printing,"42,99",4,"171,96",dshelborne6w@4shared.com#mailto:dshelborne6w@4shared.com#,Columbus
08/01/2020,Robot Kits,BYOR-1000,189,1,189,mknyvettt@spiegel.de#mailto:mknyvettt@spiegel.de#,Shawnee Mission
08/01/2020,eBooks,GPS Drones,"19,99",6,"119,94",emergue9q@nhs.uk#mailto:emergue9q@nhs.uk#,Greensboro
08/01/2020,Robot Kits,BYOR-2640S,189,4,756,ykikkec5@bing.com#mailto:ykikkec5@bing.com#,Arlington
09/01/2020,Robots,RXW-9807 Robot,599,5,2995,cdivesa9@mit.edu#mailto:cdivesa9@mit.edu#,Springfield
09/01/2020,eBooks,Single Rotor Drones,"14,99",3,"44,97",ttrowel3@joomla.org#mailto:ttrowel3@joomla.org#,Hagerstown
09/01/2020,eBooks,Cartesian Robots,"12,99",1,"12,99",dhassencj@hp.com#mailto:dhassencj@hp.com#,Rochester
09/01/2020,Robots,RXW-9807 Robot,599,6,3594,fuebeli@army.mil#mailto:fuebeli@army.mil#,Lima
09/01/2020,eBooks,Photograph Drones,"14,99",5,"74,95",ntolussidy@sciencedaily.com#mailto:ntolussidy@sciencedaily.com#,El Paso
10/01/2020,Training Videos,Understanding Raspberry PI,"28,99",2,"57,98",nkelleyql@php.net#mailto:nkelleyql@php.net#,Denver
10/01/2020,Robots,RQTE-554 Robot,684,2,1368,pgrigoroni8x@nbcnews.com#mailto:pgrigoroni8x@nbcnews.com#,Bronx
10/01/2020,Drones,DTE-QFN20 Drone,250,2,500,llucken6y@arstechnica.com#mailto:llucken6y@arstechnica.com#,Dallas
11/01/2020,Drone Kits,BYOD-500,167,4,668,ebartolozzigq@time.com#mailto:ebartolozzigq@time.com#,Glendale
12/01/2020,eBooks,GPS Drones,"19,99",6,"119,94",sbyasnq@netvibes.com#mailto:sbyasnq@netvibes.com#,Los Angeles
12/01/2020,Blueprints,Ladybug Robot Blueprint,12,6,72,ucastanhoq7@who.int#mailto:ucastanhoq7@who.int#,Miami
12/01/2020,Robot Kits,BYOR-3535,225,3,675,dedgeler3u@booking.com#mailto:dedgeler3u@booking.com#,Columbus
12/01/2020,eBooks,Polar Robots,"23,99",4,"95,96",dgyrgorcewicx5@1und1.de#mailto:dgyrgorcewicx5@1und1.de#,Tulsa
13/01/2020,eBooks,Fixed Wing Drones,"15,5",4,62,rpittsel@t.co#mailto:rpittsel@t.co#,Savannah
13/01/2020,eBooks,Photograph Drones,"14,99",4,"59,96",rgifkins7u@mysql.com#mailto:rgifkins7u@mysql.com#,Chicago
13/01/2020,eBooks,Polar Robots,"23,99",1,"23,99",lcridlonkj@sina.com.cn#mailto:lcridlonkj@sina.com.cn#,Springfield
13/01/2020,Training Videos,Understanding 3D Printing,"42,99",5,"214,95",hbamletr9@google.nl#mailto:hbamletr9@google.nl#,Sioux City
14/01/2020,Drones,MICR-564K Drone,499,6,2994,dbannellcg@google.ru#mailto:dbannellcg@google.ru#,Jacksonville
14/01/2020,Blueprints,Sleepy Eye Blueprint,"11,99",3,"35,97",bheditchad@icq.com#mailto:bheditchad@icq.com#,Miami
14/01/2020,eBooks,Single Rotor Drones,"14,99",4,"59,96",jsumpner5u@google.com.au#mailto:jsumpner5u@google.com.au#,Miami
14/01/2020,Blueprints,Panda Robot Blueprint,"7,99",3,"23,97",tspavon3q@tumblr.com#mailto:tspavon3q@tumblr.com#,Chicago
14/01/2020,Training Videos,Industrial 3D Printing,49,5,245,cpala1d@mysql.com#mailto:cpala1d@mysql.com#,Davenport
14/01/2020,eBooks,Delivery Drones,"14,99",2,"29,98",nbukacrm@nymag.com#mailto:nbukacrm@nymag.com#,Salt Lake City
15/01/2020,Blueprints,Sleepy Eye Blueprint,"11,99",5,"59,95",ulamboll9z@sciencedirect.com#mailto:ulamboll9z@sciencedirect.com#,Fresno
15/01/2020,eBooks,Delivery Drones,"14,99",5,"74,95",gmasic8k@whitehouse.gov#mailto:gmasic8k@whitehouse.gov#,Greeley
15/01/2020,eBooks,Polar Robots,"23,99",3,"71,97",rdermotm7@spotify.com#mailto:rdermotm7@spotify.com#,Washington
16/01/2020,Drone Kits,BYOD-200,"58,95",2,"117,9",abrabyndc@dailymail.co.uk#mailto:abrabyndc@dailymail.co.uk#,Syracuse
16/01/2020,Drone Kits,BYOD-350,"89,95",5,"449,75",acudmore4i@artisteer.com#mailto:acudmore4i@artisteer.com#,Chattanooga
17/01/2020,eBooks,SCARA Robots,"19,5",6,117,bissitbb@oaic.gov.au#mailto:bissitbb@oaic.gov.au#,Birmingham
17/01/2020,eBooks,Building Your Own Drone,"24,99",4,"99,96",hskelbeck49@admin.ch#mailto:hskelbeck49@admin.ch#,Albuquerque
17/01/2020,Robot Kits,BYOR-3000,214,3,642,aghironq4@123-reg.co.uk#mailto:aghironq4@123-reg.co.uk#,Charleston
18/01/2020,Training Videos,Drone Video Techniques,"37,99",2,"75,98",mfernleyah@fastcompany.com#mailto:mfernleyah@fastcompany.com#,Birmingham
18/01/2020,eBooks,Cartesian Robots,"12,99",6,"77,94",rhebner7v@hugedomains.com#mailto:rhebner7v@hugedomains.com#,Irvine
18/01/2020,Drone Kits,BYOD-550,179,3,537,pmcterlaghct@joomla.org#mailto:pmcterlaghct@joomla.org#,Fresno
18/01/2020,Blueprints,QuadroCopter Blueprint,"10,99",2,"21,98",psherrottp2@e-recht24.de#mailto:psherrottp2@e-recht24.de#,Newark
18/01/2020,eBooks,Understanding Artificial Intelligence,"19,5",3,"58,5",epetegreem0@hhs.gov#mailto:epetegreem0@hhs.gov#,Spokane
19/01/2020,Robot Kits,BYOR-1500,189,5,945,dfison78@163.com#mailto:dfison78@163.com#,Long Beach
19/01/2020,Drone Kits,BYOD-350,"89,95",3,"269,85",esilmanri@indiegogo.com#mailto:esilmanri@indiegogo.com#,San Antonio
19/01/2020,Drone Kits,BYOD-400S,"129,95",5,"649,75",lglabach3k@pagesperso-orange.fr#mailto:lglabach3k@pagesperso-orange.fr#,Roanoke
20/01/2020,eBooks,Helicopter Drones,"20,95",4,"83,8",smaffyjj@nbcnews.com#mailto:smaffyjj@nbcnews.com#,San Luis Obispo
20/01/2020,eBooks,Understanding Artificial Intelligence,"19,5",3,"58,5",easkella0@eventbrite.com#mailto:easkella0@eventbrite.com#,New Orleans
20/01/2020,eBooks,Single Rotor Drones,"14,99",1,"14,99",mbodessondq@admin.ch#mailto:mbodessondq@admin.ch#,Rochester
21/01/2020,Robot Kits,BYOR-1000,189,4,756,bwailes4a@mac.com#mailto:bwailes4a@mac.com#,Los Angeles
21/01/2020,Drones,DA-SA702 Drone,399,3,1197,jhambelton76@moonfruit.com#mailto:jhambelton76@moonfruit.com#,Riverside
21/01/2020,Drones,DTD-7000 Drone,450,5,2250,morodaneac@furl.net#mailto:morodaneac@furl.net#,San Francisco
21/01/2020,Robots,RXW-9807 Robot,599,5,2995,cstedmanby@prnewswire.com#mailto:cstedmanby@prnewswire.com#,Sacramento
21/01/2020,Robot Kits,BYOR-3535,225,2,450,salbrightonbf@paginegialle.it#mailto:salbrightonbf@paginegialle.it#,Washington
21/01/2020,Robots,RLK-9920 Robot,699,6,4194,vlanfare8n@java.com#mailto:vlanfare8n@java.com#,Miami
21/01/2020,eBooks,Single Rotor Drones,"14,99",3,"44,97",bmourant33@bluehost.com#mailto:bmourant33@bluehost.com#,Evansville
21/01/2020,eBooks,SCARA Robots,"19,5",2,39,bkleanthousre@ox.ac.uk#mailto:bkleanthousre@ox.ac.uk#,Evansville
21/01/2020,Drones,MICR-564K Drone,499,4,1996,dmonahanjn@youku.com#mailto:dmonahanjn@youku.com#,Boston
21/01/2020,Robots,RXW-9807 Robot,599,4,2396,ecowthart1h@scientificamerican.com#mailto:ecowthart1h@scientificamerican.com#,Saint Paul
21/01/2020,eBooks,Cartesian Robots,"12,99",2,"25,98",jdobbinson6o@globo.com#mailto:jdobbinson6o@globo.com#,Odessa
21/01/2020,eBooks,Building Your First Robot,"24,95",2,"49,9",aolekhovn7@webmd.com#mailto:aolekhovn7@webmd.com#,Salt Lake City
22/01/2020,Drones,DTI-84 Drone,455,4,1820,morodaneac@furl.net#mailto:morodaneac@furl.net#,San Francisco
22/01/2020,Drones,DC-304 Drone,395,1,395,twiddicombem5@ucoz.ru#mailto:twiddicombem5@ucoz.ru#,Fort Lauderdale
22/01/2020,Drones,DX-145 Drone,250,3,750,lmciverr0@linkedin.com#mailto:lmciverr0@linkedin.com#,Lehigh Acres
22/01/2020,eBooks,Understanding Artificial Intelligence,"19,5",3,"58,5",avolkernk@pen.io#mailto:avolkernk@pen.io#,Idaho Falls
22/01/2020,Drone Kits,BYOD-200,"58,95",5,"294,75",bsimperl7@amazon.co.uk#mailto:bsimperl7@amazon.co.uk#,Bronx
23/01/2020,Training Videos,Cloud Computing,"29,99",2,"59,98",clillea8@nasa.gov#mailto:clillea8@nasa.gov#,Birmingham
23/01/2020,eBooks,Cartesian Robots,"12,99",4,"51,96",akleinmintz3g@xing.com#mailto:akleinmintz3g@xing.com#,Littleton
23/01/2020,Training Videos,Virtual Reality Basics,"29,99",5,"149,95",bgellion2q@un.org#mailto:bgellion2q@un.org#,Saint Petersburg
23/01/2020,Blueprints,All Eyes Drone Blueprint,"9,99",4,"39,96",hwissbypy@msu.edu#mailto:hwissbypy@msu.edu#,Chicago
23/01/2020,Training Videos,Understanding Drone Regulations,"27,5",4,110,selliottqs@google.cn#mailto:selliottqs@google.cn#,Wichita
23/01/2020,Drone Kits,BYOD-400,119,4,476,dmirrleesnf@sitemeter.com#mailto:dmirrleesnf@sitemeter.com#,Newark
23/01/2020,eBooks,Multi Rotor Drones,"24,95",3,"74,85",jratterb4@google.co.jp#mailto:jratterb4@google.co.jp#,Jersey City
23/01/2020,Drones,DTI-84 Drone,455,5,2275,dgiffard72@aboutads.info#mailto:dgiffard72@aboutads.info#,Syracuse
23/01/2020,Robots,RCB-889 Robot,549,5,2745,klornsenhy@is.gd#mailto:klornsenhy@is.gd#,Cincinnati
24/01/2020,Blueprints,QuadroCopter Blueprint,"10,99",3,"32,97",dwestmacottdo@hubpages.com#mailto:dwestmacottdo@hubpages.com#,Anchorage
24/01/2020,Drones,DTI-84 Drone,455,2,910,faron9f@51.la#mailto:faron9f@51.la#,San Diego
24/01/2020,eBooks,Cartesian Robots,"12,99",4,"51,96",mpatey9h@barnesandnoble.com#mailto:mpatey9h@barnesandnoble.com#,San Jose
24/01/2020,Training Videos,Robotic Essentials,"34,99",3,"104,97",wwaisona4@people.com.cn#mailto:wwaisona4@people.com.cn#,Cedar Rapids
24/01/2020,Drones,DA-SA702 Drone,399,3,1197,dvassarph@ovh.net#mailto:dvassarph@ovh.net#,Carson City
24/01/2020,Robot Kits,BYOR-4005,245,5,1225,bsoalqt@chicagotribune.com#mailto:bsoalqt@chicagotribune.com#,Durham
24/01/2020,Training Videos,Drone Video Techniques,"37,99",1,"37,99",sstronghillc1@google.nl#mailto:sstronghillc1@google.nl#,Midland
25/01/2020,Training Videos,Mapping with Drones,49,3,147,mdeniscc@angelfire.com#mailto:mdeniscc@angelfire.com#,Montgomery
25/01/2020,Training Videos,Drone Video Techniques,"37,99",4,"151,96",cchadwickg2@craigslist.org#mailto:cchadwickg2@craigslist.org#,Bakersfield
25/01/2020,Drones,DX-145 Drone,250,5,1250,jramsbothamly@pagesperso-orange.fr#mailto:jramsbothamly@pagesperso-orange.fr#,Topeka
25/01/2020,Blueprints,Ladybug Robot Blueprint,12,5,60,ecasaleql@nhs.uk#mailto:ecasaleql@nhs.uk#,New Orleans
26/01/2020,eBooks,Drone Building Essentials,"13,99",3,"41,97",bnendick5z@mtv.com#mailto:bnendick5z@mtv.com#,Fresno
26/01/2020,Drone Kits,BYOD-500,167,4,668,torsman16@quantcast.com#mailto:torsman16@quantcast.com#,Muncie
26/01/2020,Drones,DTI-84 Drone,455,5,2275,ochaffing9@wp.com#mailto:ochaffing9@wp.com#,Saint Louis
27/01/2020,eBooks,Building Your Own Drone,"24,99",5,"124,95",wcreweem@ycombinator.com#mailto:wcreweem@ycombinator.com#,Anchorage
27/01/2020,Robots,RQTE-554 Robot,684,3,2052,bflintls@bloglovin.com#mailto:bflintls@bloglovin.com#,Santa Barbara
27/01/2020,eBooks,GPS Drones,"19,99",1,"19,99",crankingmd@shareasale.com#mailto:crankingmd@shareasale.com#,Sacramento
27/01/2020,Blueprints,Bsquare Robot Blueprint,"8,99",1,"8,99",fhonatsch4p@epa.gov#mailto:fhonatsch4p@epa.gov#,Hartford
27/01/2020,eBooks,Understanding Arduino,"17,5",5,"87,5",mmerigonaz@go.com#mailto:mmerigonaz@go.com#,Boynton Beach
27/01/2020,eBooks,Photograph Drones,"14,99",4,"59,96",dgamelz@cam.ac.uk#mailto:dgamelz@cam.ac.uk#,Newark
27/01/2020,eBooks,GPS Drones,"19,99",5,"99,95",godonnellal@freewebs.com#mailto:godonnellal@freewebs.com#,Norfolk
28/01/2020,eBooks,Building Your First Robot,"24,95",4,"99,8",dwimburya7@nationalgeographic.com#mailto:dwimburya7@nationalgeographic.com#,Hartford
28/01/2020,eBooks,GPS Drones,"19,99",3,"59,97",sgehringer4s@auda.org.au#mailto:sgehringer4s@auda.org.au#,Boston
28/01/2020,Training Videos,Industrial 3D Printing,49,3,147,smarojq@odnoklassniki.ru#mailto:smarojq@odnoklassniki.ru#,Philadelphia
29/01/2020,Training Videos,AI for Educators,"49,95",5,"249,75",genochef@networkadvertising.org#mailto:genochef@networkadvertising.org#,Zephyrhills
29/01/2020,eBooks,Cartesian Robots,"12,99",4,"51,96",dfriel54@howstuffworks.com#mailto:dfriel54@howstuffworks.com#,Young America
29/01/2020,Blueprints,Creature Robot Arms Blueprint,12,4,48,icastroj8@trellian.com#mailto:icastroj8@trellian.com#,San Angelo
30/01/2020,Robots,RCB-889 Robot,549,3,1647,rranyelld5n@msn.com#mailto:rranyelld5n@msn.com#,Oxnard
30/01/2020,Blueprints,Ladybug Robot Blueprint,12,3,36,rgeorgelin5v@istockphoto.com#mailto:rgeorgelin5v@istockphoto.com#,Brooklyn
30/01/2020,Drone Kits,BYOD-400,119,4,476,htidmanmv@ucla.edu#mailto:htidmanmv@ucla.edu#,Knoxville
30/01/2020,Robots,RCB-889 Robot,549,5,2745,lholliboneai@columbia.edu#mailto:lholliboneai@columbia.edu#,San Antonio
30/01/2020,eBooks,Polar Robots,"23,99",4,"95,96",rscoinesk6@blogspot.com#mailto:rscoinesk6@blogspot.com#,Madison
31/01/2020,Drone Kits,BYOD-500,167,4,668,ldomengetg1@nsw.gov.au#mailto:ldomengetg1@nsw.gov.au#,Scottsdale
31/01/2020,Training Videos,Cloud Computing,"29,99",3,"89,97",lcotaeq@prweb.com#mailto:lcotaeq@prweb.com#,Oakland
31/01/2020,Robot Kits,BYOR-1000,189,2,378,cshentonl8@java.com#mailto:cshentonl8@java.com#,Cumming
31/01/2020,Training Videos,Aerial Security,"36,99",3,"110,97",dvassarph@ovh.net#mailto:dvassarph@ovh.net#,Carson City
31/01/2020,eBooks,Building Your First Robot,"24,95",4,"99,8",jbernaertqo@microsoft.com#mailto:jbernaertqo@microsoft.com#,Toledo
31/01/2020,Drones,DTD-7000 Drone,450,2,900,eyakoboviczn6@fc2.com#mailto:eyakoboviczn6@fc2.com#,Madison
01/02/2020,Training Videos,Robotic Essentials,"34,99",5,"174,95",bminkinan@mtv.com#mailto:bminkinan@mtv.com#,Fairbanks
01/02/2020,Training Videos,AI for Educators,"49,95",1,"49,95",gmacenzy8g@constantcontact.com#mailto:gmacenzy8g@constantcontact.com#,Springfield
01/02/2020,Drone Kits,BYOD-550,179,3,537,mhaskins5@ibm.com#mailto:mhaskins5@ibm.com#,Reno
01/02/2020,eBooks,Understanding Arduino,"17,5",4,70,clowth9p@rakuten.co.jp#mailto:clowth9p@rakuten.co.jp#,New York City
02/02/2020,Blueprints,Sleepy Eye Blueprint,"11,99",4,"47,96",gdaspark4@unesco.org#mailto:gdaspark4@unesco.org#,Birmingham
02/02/2020,Blueprints,Panda Robot Blueprint,"7,99",2,"15,98",eworleyef@imdb.com#mailto:eworleyef@imdb.com#,Columbus
02/02/2020,Blueprints,Hexacopter Drone Blueprint,"8,99",5,"44,95",achristolqa@networksolutions.com#mailto:achristolqa@networksolutions.com#,Charleston
02/02/2020,Robots,RCB-889 Robot,549,2,1098,cgillionm7@cdc.gov#mailto:cgillionm7@cdc.gov#,Houston
02/02/2020,Blueprints,Hexacopter Drone Blueprint,"8,99",5,"44,95",fbrignalll3@google.com.au#mailto:fbrignalll3@google.com.au#,El Paso
02/02/2020,eBooks,Helicopter Drones,"20,95",5,"104,75",cdroghanpg@over-blog.com#mailto:cdroghanpg@over-blog.com#,Tacoma
03/02/2020,eBooks,Articulated Robots,"23,99",3,"71,97",lilyin9s@discovery.com#mailto:lilyin9s@discovery.com#,Colorado Springs
03/02/2020,Robots,RXW-9807 Robot,599,5,2995,eanfonsipu@wunderground.com#mailto:eanfonsipu@wunderground.com#,Orlando
03/02/2020,Drone Kits,BYOD-200,"58,95",2,"117,9",ggallene1@moonfruit.com#mailto:ggallene1@moonfruit.com#,San Antonio
03/02/2020,eBooks,Polar Robots,"23,99",3,"71,97",bfroomq@acquirethisname.com#mailto:bfroomq@acquirethisname.com#,Salt Lake City
04/02/2020,eBooks,Fixed Wing Drones,"15,5",5,"77,5",imcshirrie2f@squidoo.com#mailto:imcshirrie2f@squidoo.com#,Hot Springs National Park
04/02/2020,Robots,RCB-889 Robot,549,4,2196,agowdridgecl@odnoklassniki.ru#mailto:agowdridgecl@odnoklassniki.ru#,Bloomington
04/02/2020,Blueprints,QuadroCopter Blueprint,"10,99",3,"32,97",ijohanningrq@t-online.de#mailto:ijohanningrq@t-online.de#,Kansas City
04/02/2020,Robot Kits,BYOR-1500,189,6,1134,btomczynskinw@amazon.de#mailto:btomczynskinw@amazon.de#,Minneapolis
04/02/2020,Training Videos,Understanding Raspberry PI,"28,99",3,"86,97",gbednellqw@examiner.com#mailto:gbednellqw@examiner.com#,Akron
05/02/2020,Robot Kits,BYOR-3000,214,5,1070,challiburtonjx@wordpress.com#mailto:challiburtonjx@wordpress.com#,Anchorage
05/02/2020,eBooks,Multi Rotor Drones,"24,95",3,"74,85",darmytagehc@mediafire.com#mailto:darmytagehc@mediafire.com#,Riverside
05/02/2020,Training Videos,Virtual Reality Basics,"29,99",2,"59,98",ozoellner21@mediafire.com#mailto:ozoellner21@mediafire.com#,Peoria
05/02/2020,Drone Kits,BYOD-300,89,2,178,thousecroftfp@taobao.com#mailto:thousecroftfp@taobao.com#,Cincinnati
05/02/2020,Drone Kits,BYOD-200,"58,95",3,"176,85",wconybearoy@webnode.com#mailto:wconybearoy@webnode.com#,Austin
06/02/2020,Blueprints,Sleepy Eye Blueprint,"11,99",3,"35,97",cpickover2l@apache.org#mailto:cpickover2l@apache.org#,Huntington Beach
06/02/2020,Drone Kits,BYOD-500,167,3,501,ljolleyiw@google.de#mailto:ljolleyiw@google.de#,Miami
06/02/2020,Blueprints,Cat Robot Blueprint,"4,99",4,"19,96",doliverpaullmb@vinaora.com#mailto:doliverpaullmb@vinaora.com#,Fort Wayne
06/02/2020,Drone Kits,BYOD-550,179,3,537,akitchenhamga@tripadvisor.com#mailto:akitchenhamga@tripadvisor.com#,Detroit
06/02/2020,eBooks,Delivery Drones,"14,99",3,"44,97",nachesonjd@sbwire.com#mailto:nachesonjd@sbwire.com#,Minneapolis
07/02/2020,eBooks,Delivery Drones,"14,99",2,"29,98",cscarr9m@yahoo.com#mailto:cscarr9m@yahoo.com#,Montgomery
07/02/2020,eBooks,Building Your Own Drone,"24,99",1,"24,99",ckobierzyckipr@sogou.com#mailto:ckobierzyckipr@sogou.com#,Atlanta
07/02/2020,Blueprints,Bsquare Robot Blueprint,"8,99",4,"35,96",hwissbypy@msu.edu#mailto:hwissbypy@msu.edu#,Chicago
07/02/2020,eBooks,Building Your Own Drone,"24,99",4,"99,96",zpoolmaniz@linkedin.com#mailto:zpoolmaniz@linkedin.com#,Fargo
07/02/2020,Drones,MICR-564K Drone,499,5,2495,wspark10@mashable.com#mailto:wspark10@mashable.com#,Reston
07/02/2020,eBooks,Cartesian Robots,"12,99",4,"51,96",lrobacknn@newyorker.com#mailto:lrobacknn@newyorker.com#,Madison
08/02/2020,Training Videos,Understanding Drone Regulations,"27,5",2,55,dcandey3b@cocolog-nifty.com#mailto:dcandey3b@cocolog-nifty.com#,Denver
08/02/2020,Drones,DTE-QFN20 Drone,250,3,750,dhuddartht@networksolutions.com#mailto:dhuddartht@networksolutions.com#,Miami
08/02/2020,eBooks,Delivery Drones,"14,99",6,"89,94",rjachtym3c@usda.gov#mailto:rjachtym3c@usda.gov#,Boston
08/02/2020,Drone Kits,BYOD-400S,"129,95",4,"519,8",ecowthart1h@scientificamerican.com#mailto:ecowthart1h@scientificamerican.com#,Saint Paul
08/02/2020,Training Videos,Understanding Drone Regulations,"27,5",5,"137,5",tsailoro4@barnesandnoble.com#mailto:tsailoro4@barnesandnoble.com#,Las Vegas
08/02/2020,Robots,RWW-75 Robot,883,4,3532,tcowper25@netlog.com#mailto:tcowper25@netlog.com#,Fort Worth
09/02/2020,Blueprints,Creature Robot Arms Blueprint,12,3,36,bhrishanokd2@archive.org#mailto:bhrishanokd2@archive.org#,Pasadena
09/02/2020,Robots,RLK-9920 Robot,699,4,2796,ebartolozzigq@time.com#mailto:ebartolozzigq@time.com#,Glendale
09/02/2020,Robot Kits,BYOR-1000,189,3,567,vblackwoodmf@tinyurl.com#mailto:vblackwoodmf@tinyurl.com#,Atlanta
